Тип	Имя (RU)	Файл картинки (EN)	Описание (RU)	Промпт для картинки (Brawl Stars style, EN)
СОЮЗНИК	Стражник	allies/straznik.png	Человек-танк, щитоносец городской стражи: защищает уязвимых союзников и держит строй с другими танками. Молодой солдат с потёртым щитом; ветеран шрамы на щите считает наградой.	Brawl Stars style 3D cartoon hero, chunky proportions, bold saturated colors, human town guard knight with large battered shield and simple armor, friendly determined expression, fantasy tank, full body, clean silhouette, soft lighting, plain light gray background
СОЮЗНИК	Ополченец	allies/opolchenec.png	Крестьянин-танк с дубиной и щитом: бонусы за построение рядом, аура дальней защиты и народный клич на время боя. Фермер, которого деревня снарядила под защиту.	Brawl Stars style, cartoon muscular human militia fighter with wooden club and improvised shield evolving to iron, rustic fantasy armor, rallying pose, full body, bright colors, light background
СОЮЗНИК	Копейщик	allies/kopeyshik.png	Пехотинец с копьём — достаёт до передних рядов врага; усиливает соседнего копейщика. Домашнее копьё от деда, упорный боец строя.	Brawl Stars style, human spearman with long spear, medium armor, energetic stance, fantasy frontline soldier, exaggerated limbs, vivid palette, full body portrait, simple background
СОЮЗНИК	Лучник	allies/luchnik.png	Дальнобойный стрелок с двумя выстрелами за ход и точным выстрелом на кулдауне. Охотник с самодельными стрелами.	Brawl Stars style, human archer with hunting bow, quiver, light leather, nimble cartoon proportions, confident smirk, full body, fantasy ranger, bright lighting, plain backdrop
СОЮЗНИК	Послушник света	allies/poslushnik.png	Маг-хилер ордена света: малый лекарь и массовое благословение. Ученик с лёгким ароматом лаванды у заклинаний; растёт до сильного целителя.	Brawl Stars style, young human healer acolyte, white-gold robes, glowing hands, gentle glowing magic particles, cute but heroic, staff or holy symbol, full body, soft pastel accents, light background
СОЮЗНИК	Лесной эльф	allies/forest_elf.png	Эльфийский лучник с ливнем стрел по колонке и усиленной меткостью. Тысячи лет клан охранял лес; быстрые стрелы элитного стрелка.	Brawl Stars style, forest elf archer, pointed ears, leaf motifs on armor, elegant bow, swift dynamic pose, saturated green and gold, mobile game hero, full body, plain background
СОЮЗНИК	Маг-эльф	allies/elf_mage.png	Одиночный природный маг: снаряды, корни-оглушение и мощный прилив урона. Древняя магия в крови.	Brawl Stars style, elf nature mage, vine staff, glowing green magic, cape with leaf patterns, sharp cute face, fantasy spellcaster, full body, bold colors, simple studio background
СОЮЗНИК	Жрица природы	allies/elf_healer.png	Эльфийский целитель: прикосновение природы, регенерация и массовое обновление; связь с лесом усиливает ману рядом с зверями.	Brawl Stars style, elf priestess druid healer, flower crown, warm healing glow, nature dress armor mix, kind eyes, full body, fairy-tale fantasy, light green and pink accents, plain light background
СОЮЗНИК	Эльфийский воин	allies/elf_warrior.png	Дамагер ближнего боя: двойной удар в первый ход, уклонение от части атак. Сражается как танцует.	Brawl Stars style, agile elf duelist warrior, dual wield or sleek sword, light elegant armor, graceful battle stance, pastel silver and teal, full body, cartoon proportions, minimal background
СОЮЗНИК	Эльфийский разведчик	allies/elf_scout.png	Стрелок-разведчик с бонусом первого выстрела, дальним прицелом и меткой цели. Видит дальше всех, метка — приговор.	Brawl Stars style, elf scout ranger with hood, compact bow, spyglass vibe, sharp attentive eyes, sneak-energy pose, teal and brown palette, full body, Brawl-like bold outline feel, light background
